predictor,importance,Total,importance_stnd,species,LC_type,LC_category
pland_LCCS1_c32_sparse_herbaceous,15.654756551910223,1296.560154956109,1.207406882902411,Grey Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c12_evergreen_broadleaf,15.075165306436205,1296.560154956109,1.162704657305046,Grey Kestrel,Dense,Forest
pland_LCCS3_c50_herbaceous_wetland,10.802498744497434,1296.560154956109,0.8331660280631653,Grey Kestrel,Open,Wetland
pland_ASTWBD_c02_river,7.673307345170676,1296.560154956109,0.5918203884208081,Grey Kestrel,Open,Water Body
pland_ASTWBD_c01_ocean,6.139573401896785,1296.560154956109,0.4735278481625575,Grey Kestrel,Open,Water Body
pland_LCCS3_c27_woody_wetland,5.569219721529985,1296.560154956109,0.4295380897092672,Grey Kestrel,Dense,Wetland
pland_LCCS1_c01_barren,3.752260823168225,1296.560154956109,0.28940121357464094,Grey Kestrel,Open,Barren
pland_LCCS2_c35_natural_herbaceous_cropland_mosaic,2.829846409520468,1296.560154956109,0.21825801130039071,Grey Kestrel,Open,Mixed
pland_LCCS1_c43_sparse_shrubland,1.083804474789708,1296.560154956109,0.08359075902856175,Grey Kestrel,Open,Shrubland
pland_LCCS1_c14_deciduous_broadleaf,1.037219066973604,1296.560154956109,0.07999775891684069,Grey Kestrel,Dense,Forest
pland_LCCS1_c16_mixed_broadleaf_evergreen_deciduous,0.5593965935468034,1296.560154956109,0.04314466948629468,Grey Kestrel,Dense,Forest
pland_LCCS1_c42_shrubland_grassland_mosaic,0.4760167448282728,1296.560154956109,0.03671381871552168,Grey Kestrel,Open,Mixed
pland_LCCS1_c41_dense_shrubland,0.2419885370800307,1296.560154956109,0.01866388814703491,Grey Kestrel,Open,Shrubland
pland_LCCS1_c11_evergreen_needleleaf,0.01680878769317353,1296.560154956109,0.0012964140251358,Grey Kestrel,Dense,Forest
pland_LCCS1_c15_mixed_broadleaf_needleleaf,8.538955690989951e-4,1296.560154956109,6.585853852094514e-5,Grey Kestrel,Dense,Forest
pland_LCCS1_c02_permanent_snow_ice,0,1296.560154956109,0,Grey Kestrel,Open,Snow & Ice
pland_LCCS1_c13_deciduous_needleleaf,0,1296.560154956109,0,Grey Kestrel,Dense,Forest
pland_LCCS3_c51_tundra,0,1296.560154956109,0,Grey Kestrel,Open,Tundra
